Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Ofav_Lauren_plate4.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-09-29 12:52:48 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
G8,4-70,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,38.9891738892,,,,,0,0.01,1,3,39,,N,Y,Y
G8,4-70,D,UNKNOWN,FAM,NFQ-MGB,24.7040863037,24.9015789032,0.279296726,,,,0,0.01,1,3,24,,N,Y,Y
G9,4-70,Ofav,UNKNOWN,FAM,NFQ-MGB,22.7718086243,22.7106533051,0.0864866823,,,,0,0.01,1,3,21,,N,N,N
G10,4-70,Ofav,UNKNOWN,FAM,NFQ-MGB,22.6494979858,22.7106533051,0.0864866823,,,,0,0.01,1,3,21,,N,N,N
G11,4-70,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
G12,4-70,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
H1,4-42,A,UNKNOWN,FAM,NFQ-MGB,36.4485206604,36.4485206604,,,,,0,0.01,1,3,35,,N,N,N
H2,4-42,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
H3,4-42,Ofav,UNKNOWN,FAM,NFQ-MGB,23.5501098633,23.5990982056,0.0692813247,,,,0,0.01,1,3,22,,N,N,N
H4,4-42,Ofav,UNKNOWN,FAM,NFQ-MGB,23.6480884552,23.5990982056,0.0692813247,,,,0,0.01,1,3,22,,N,N,N
H5,4-42,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
H5,4-42,D,UNKNOWN,FAM,NFQ-MGB,25.330411911,25.1494789124,0.2558765411,,,,0,0.01,1,3,24,,N,Y,Y
H6,4-42,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
H6,4-42,D,UNKNOWN,FAM,NFQ-MGB,24.968547821,25.1494789124,0.2558765411,,,,0,0.01,1,3,24,,N,Y,Y
H7,6-27,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
H7,6-27,D,UNKNOWN,FAM,NFQ-MGB,23.1498088837,23.1664848328,0.023582004,,,,0,0.01,1,3,22,,N,Y,Y
H8,6-27,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
H8,6-27,D,UNKNOWN,FAM,NFQ-MGB,23.1831588745,23.1664848328,0.023582004,,,,0,0.01,1,3,22,,N,Y,Y
H9,6-27,Ofav,UNKNOWN,FAM,NFQ-MGB,23.3037223816,23.0656433105,0.3366946578,,,,0,0.01,1,3,22,,N,N,N
H10,6-27,Ofav,UNKNOWN,FAM,NFQ-MGB,22.8275642395,23.0656433105,0.3366946578,,,,0,0.01,1,3,21,,N,N,N
H11,6-27,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
H12,6-27,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
